OpSys_No OS,company_MSI,CPU_BRAND_AMD,CPU_BRAND_Intel,GPU_BRAND_Intel,GPU_BRAND_AMD,company_Acer,Weight,Memory_Type_Flash,typeName_Workstation,typeName_Ultrabook,GPU_BRAND_Nvidia,typeName_Gaming,Memory_Type_HDD,CPU_FREQUENCY,Memory_Type_SSD,typeName_Notebook,ScreenHeight,ScreenWidth,Ram,Price_euros
1,0,0,1,0,0,0,1.95,0,0,0,1,0,0,1.6,1,1,1080,1920,8,1199.0
0,0,0,1,0,0,0,2.77,0,0,0,1,0,0,1.8,1,1,1080,1920,16,1549.0
0,0,0,1,0,0,0,2.06,0,0,0,1,0,0,2.8,1,1,2160,3840,16,2397.0
1,0,0,1,0,0,0,2.4,0,0,0,1,1,0,2.5,1,0,1080,1920,8,779.0
0,0,0,1,1,0,1,1.12,0,0,1,0,0,0,1.2,1,0,1080,1920,8,989.0
0,0,0,1,0,1,0,2.8,0,0,0,0,0,0,1.8,1,1,1080,1920,8,1085.0
0,0,0,1,1,0,0,1.42,0,0,0,0,0,0,2.7,1,0,1440,2560,16,2824.0
0,0,0,1,1,0,0,1.3,1,0,0,0,0,0,1.1,0,1,1080,1920,4,260.0
1,0,0,1,0,0,0,1.3,0,0,1,1,0,0,2.5,1,0,1080,1920,8,999.9
1,0,0,1,0,0,0,2.8,0,0,0,1,0,0,1.6,1,1,900,1600,8,698.0
0,0,0,1,1,0,0,1.62,0,0,0,0,0,1,1.8,0,0,1080,1920,8,839.0
0,0,0,1,0,0,0,2.5,0,0,0,1,0,1,1.6,0,1,1080,1920,8,914.0
0,0,0,1,0,0,0,3.49,0,0,0,1,1,0,2.9,1,0,2160,3840,32,6099.0
0,0,0,1,1,0,0,1.49,0,0,0,0,0,0,1.6,1,1,1080,1920,8,959.0
0,0,0,1,0,0,0,3.35,0,0,0,1,1,0,2.8,1,0,1080,1920,16,1379.0
0,0,0,1,0,0,0,2.5,0,0,0,1,0,0,1.8,1,1,1080,1920,8,1045.0
0,0,0,1,0,0,0,2.65,0,0,0,1,1,0,2.8,1,0,2160,3840,16,1845.0
0,0,0,1,1,0,0,2.1,0,0,0,0,0,0,2.3,1,1,768,1366,4,493.0
0,0,0,1,0,0,1,2.23,0,0,0,1,0,1,2.7,0,1,1080,1920,8,742.0
0,0,0,1,0,0,0,3.2,0,0,0,1,1,0,2.8,1,0,1080,1920,16,1749.0
0,0,0,1,0,0,0,2.8,0,1,0,1,0,0,3.0,1,0,2160,3840,16,3055.0
1,0,0,1,0,0,0,2.4,0,0,0,1,1,0,2.8,1,0,1080,1920,16,1398.0
0,0,0,1,1,0,0,2.3,0,0,0,0,0,1,2.4,0,1,768,1366,6,439.0
0,0,0,1,1,0,0,1.21,0,0,1,0,0,0,1.8,1,0,2160,3840,8,1949.0
0,0,0,1,1,0,0,1.2,0,0,1,0,0,0,1.8,1,0,1080,1920,8,1449.0
0,0,0,1,1,0,0,2.2,0,0,0,0,0,0,2.5,1,1,768,1366,8,597.0
0,0,0,1,0,0,1,2.4,0,0,0,1,0,1,2.8,0,1,1080,1920,8,779.0
